date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2019-06-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-07-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-08-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-09-15,Beans - Retail,KG,pulses and nuts,3000.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-10-15,Beans - Retail,KG,pulses and nuts,3150.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-11-15,Beans - Retail,KG,pulses and nuts,3000.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2020-01-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2020-02-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2018-10-15,Sorghum - Retail,KG,cereals and tubers,600.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2018-11-15,Sorghum - Retail,KG,cereals and tubers,833.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2018-12-15,Sorghum - Retail,KG,cereals and tubers,833.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-01-15,Sorghum - Retail,KG,cereals and tubers,842.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-02-15,Sorghum - Retail,KG,cereals and tubers,963.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-04-15,Sorghum - Retail,KG,cereals and tubers,1300.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-05-15,Sorghum - Retail,KG,cereals and tubers,1300.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-06-15,Sorghum - Retail,KG,cereals and tubers,1300.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-07-15,Sorghum - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
2019-08-15,Sorghum - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Amudat,744,Karita,2346,65,15,5,1,2346_65_15_5,
